*---><---><--------><------------------------------------------------>
    0    0          some comment                                      
*---><---><--------><--------><--------><--------><--------><-------->
  SPH    1     400.0     500.0       0.0     500.0       0.0       0.0
  SPH    1     200.0     800.0     200.0      50.0       0.0       0.0
  SPH    1     300.0     500.0     400.0      10.0       0.0       0.0
  SPH    1     700.0     100.0     750.0     300.0       0.0       0.0
*---><---><--------><--------><--------><--------><--------><-------->
  RPP    2       0.0     600.0         0       200        20       280
  RPP    2     100.0     150.0         0       400        80       480
  RPP    2     200.0     300.0       500       600       120       200
  RPP    2     300.0     500.0       700       800       210       220
  RPP    2     700.0     800.0       550       600       420       880
*---><---><--------><--------><--------><--------><--------><-------->
END                                                                   
